LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
2.7768861e-06,1.25e-05
2.7769861e-06,0.00015625
2.7770861e-06,0.000275
2.7771861e-06,0.0003
2.7772861e-06,0.00019375
2.7773861e-06,-6.25e-06
2.7774861e-06,-0.00023125
2.7775861e-06,-0.0004
2.7776861e-06,-0.0004375
2.7777861e-06,-0.00033125
2.7778861e-06,-0.00013125
2.7779861e-06,0.0001
2.7780861e-06,0.00026875
2.7781861e-06,0.000325
2.7782861e-06,0.00025625
2.7783861e-06,0.0001
2.7784861e-06,-9.375e-05
2.7785861e-06,-0.00025625
2.7786861e-06,-0.00036875
2.7787861e-06,-0.0004
2.7788861e-06,-0.00036875
2.7789861e-06,-0.0002875
2.7790861e-06,-0.00019375
2.7791861e-06,-0.0001
2.7792861e-06,-3.125e-05
2.7793861e-06,1.25e-05
2.7794861e-06,1.25e-05
2.7795861e-06,0
2.7796861e-06,-1.25e-05
2.7797861e-06,1.25e-05
2.7798861e-06,8.125e-05
2.7799861e-06,0.0002
2.7800861e-06,0.00035
2.7801861e-06,0.00048125
2.7802861e-06,0.000575
2.7803861e-06,0.0006
2.7804861e-06,0.00056875
2.7805861e-06,0.0005
2.7806861e-06,0.0004375
2.7807861e-06,0.0004
2.7808861e-06,0.0003875
2.7809861e-06,0.00038125
2.7810861e-06,0.00035625
2.7811861e-06,0.0003
2.7812861e-06,0.000225
2.7813861e-06,0.00016875
2.7814861e-06,0.00015625
2.7815861e-06,0.0002
2.7816861e-06,0.00028125
2.7817861e-06,0.00035625
2.7818861e-06,0.000375
2.7819861e-06,0.0003
2.7820861e-06,0.00015
2.7821861e-06,-1.875e-05
2.7822861e-06,-0.00015
2.7823861e-06,-0.0002
2.7824861e-06,-0.0001625
2.7825861e-06,-7.5e-05
2.7826861e-06,-6.25e-06
2.7827861e-06,0
2.7828861e-06,-5.625e-05
2.7829861e-06,-0.0001375
2.7830861e-06,-0.000175
2.7831861e-06,-0.0001
2.7832861e-06,9.375e-05
2.7833861e-06,0.00035
2.7834861e-06,0.0005875
2.7835861e-06,0.0007
2.7836861e-06,0.00064375
2.7837861e-06,0.00043125
2.7838861e-06,0.00014375
2.7839861e-06,-0.0001
2.7840861e-06,-0.00020625
2.7841861e-06,-0.00014375
2.7842861e-06,5.625e-05
2.7843861e-06,0.0003
2.7844861e-06,0.00049375
2.7845861e-06,0.00055625
2.7846861e-06,0.00048125
2.7847861e-06,0.0003
2.7848861e-06,9.375e-05
2.7849861e-06,-6.25e-05
2.7850861e-06,-0.00013125
2.7851861e-06,-0.0001
2.7852861e-06,0
2.7853861e-06,0.000125
2.7854861e-06,0.0002375
2.7855861e-06,0.0003
2.7856861e-06,0.00031875
2.7857861e-06,0.00029375
2.7858861e-06,0.00025
2.7859861e-06,0.0002
2.7860861e-06,0.00015625
2.7861861e-06,0.000125
2.7862861e-06,0.00010625
2.7863861e-06,0.0001
2.7864861e-06,0.0001
2.7865861e-06,0.0001
2.7866861e-06,0.0001
2.7867861e-06,0.0001
2.7868861e-06,0.00011875
2.7869861e-06,0.00015625
2.7870861e-06,0.00021875
2.7871861e-06,0.0003
2.7872861e-06,0.00036875
2.7873861e-06,0.00040625
2.7874861e-06,0.00038125
2.7875861e-06,0.0003
2.7876861e-06,0.00019375
2.7877861e-06,9.375e-05
2.7878861e-06,5.625e-05
2.7879861e-06,0.0001
2.7880861e-06,0.00021875
2.7881861e-06,0.00036875
2.7882861e-06,0.0005125
2.7883861e-06,0.0006
2.7884861e-06,0.0006125
2.7885861e-06,0.0005625
2.7886861e-06,0.00048125
2.7887861e-06,0.0004
2.7888861e-06,0.0003375
2.7889861e-06,0.00029375
2.7890861e-06,0.00025625
2.7891861e-06,0.0002
2.7892861e-06,0.00013125
2.7893861e-06,6.25e-05
2.7894861e-06,1.25e-05
2.7895861e-06,0
2.7896861e-06,3.125e-05
2.7897861e-06,7.5e-05
2.7898861e-06,0.00010625
2.7899861e-06,0.0001
2.7900861e-06,5e-05
2.7901861e-06,-6.25e-06
2.7902861e-06,-3.75e-05
2.7903861e-06,0
2.7904861e-06,0.000125
2.7905861e-06,0.0003
2.7906861e-06,0.00048125
2.7907861e-06,0.0006
2.7908861e-06,0.00060625
2.7909861e-06,0.0005
2.7910861e-06,0.00030625
2.7911861e-06,0.0001
2.7912861e-06,-5e-05
2.7913861e-06,-0.00010625
2.7914861e-06,-4.375e-05
2.7915861e-06,0.0001
2.7916861e-06,0.00028125
2.7917861e-06,0.00045
2.7918861e-06,0.0005625
2.7919861e-06,0.0006
2.7920861e-06,0.00056875
2.7921861e-06,0.0004875
2.7922861e-06,0.00039375
2.7923861e-06,0.0003
2.7924861e-06,0.0002375
2.7925861e-06,0.000225
2.7926861e-06,0.00025
2.7927861e-06,0.0003
2.7928861e-06,0.00035
2.7929861e-06,0.0003625
2.7930861e-06,0.0003125
2.7931861e-06,0.0002
2.7932861e-06,3.75e-05
2.7933861e-06,-0.00015
2.7934861e-06,-0.00030625
2.7935861e-06,-0.0004
2.7936861e-06,-0.00041875
2.7937861e-06,-0.000375
2.7938861e-06,-0.00029375
2.7939861e-06,-0.0002
2.7940861e-06,-0.000125
2.7941861e-06,-7.5e-05
2.7942861e-06,-3.75e-05
2.7943861e-06,0
2.7944861e-06,5e-05
2.7945861e-06,0.00010625
2.7946861e-06,0.0001625
2.7947861e-06,0.0002
2.7948861e-06,0.0002125
2.7949861e-06,0.00019375
2.7950861e-06,0.00015
2.7951861e-06,0.0001
2.7952861e-06,4.375e-05
2.7953861e-06,-2.5e-05
2.7954861e-06,-0.0001
2.7955861e-06,-0.0002
2.7956861e-06,-0.0003125
2.7957861e-06,-0.00041875
2.7958861e-06,-0.0004875
2.7959861e-06,-0.0005
2.7960861e-06,-0.0004375
2.7961861e-06,-0.00031875
2.7962861e-06,-0.00015625
2.7963861e-06,0
2.7964861e-06,0.00011875
2.7965861e-06,0.000175
2.7966861e-06,0.00016875
2.7967861e-06,0.0001
2.7968861e-06,0
2.7969861e-06,-0.0001125
2.7970861e-06,-0.00021875
2.7971861e-06,-0.0003
2.7972861e-06,-0.00034375
2.7973861e-06,-0.0003375
2.7974861e-06,-0.0002875
2.7975861e-06,-0.0002
2.7976861e-06,-8.75e-05
2.7977861e-06,3.125e-05
2.7978861e-06,0.00013125
2.7979861e-06,0.0002
2.7980861e-06,0.0002375
2.7981861e-06,0.00025625
2.7982861e-06,0.000275
2.7983861e-06,0.0003
2.7984861e-06,0.0003375
2.7985861e-06,0.000375
2.7986861e-06,0.0004
2.7987861e-06,0.0004
2.7988861e-06,0.00036875
2.7989861e-06,0.0003125
2.7990861e-06,0.00025625
2.7991861e-06,0.0002
2.7992861e-06,0.00015625
2.7993861e-06,0.00011875
2.7994861e-06,6.875e-05
2.7995861e-06,0
2.7996861e-06,-8.75e-05
2.7997861e-06,-0.00018125
2.7998861e-06,-0.0002625
2.7999861e-06,-0.0003
2.8000861e-06,-0.0002875
2.8001861e-06,-0.00021875
2.8002861e-06,-0.00011875
2.8003861e-06,0
2.8004861e-06,0.00010625
2.8005861e-06,0.00018125
2.8006861e-06,0.0002125
2.8007861e-06,0.0002
2.8008861e-06,0.0001375
2.8009861e-06,3.75e-05
2.8010861e-06,-8.75e-05
2.8011861e-06,-0.0002
2.8012861e-06,-0.00028125
2.8013861e-06,-0.00030625
2.8014861e-06,-0.000275
2.8015861e-06,-0.0002
2.8016861e-06,-0.00011875
2.8017861e-06,-6.25e-05
2.8018861e-06,-5.625e-05
2.8019861e-06,-0.0001
2.8020861e-06,-0.00016875
2.8021861e-06,-0.00021875
2.8022861e-06,-0.00023125
2.8023861e-06,-0.0002
2.8024861e-06,-0.00015625
2.8025861e-06,-0.0001375
2.8026861e-06,-0.0001875
2.8027861e-06,-0.0003
2.8028861e-06,-0.0004375
2.8029861e-06,-0.00053125
2.8030861e-06,-0.000525
2.8031861e-06,-0.0004
2.8032861e-06,-0.0001875
2.8033861e-06,2.5e-05
2.8034861e-06,0.00014375
2.8035861e-06,0.0001
2.8036861e-06,-0.00011875
2.8037861e-06,-0.00044375
2.8038861e-06,-0.000775
2.8039861e-06,-0.001
2.8040861e-06,-0.00104375
2.8041861e-06,-0.0009125
2.8042861e-06,-0.00066875
2.8043861e-06,-0.0004
2.8044861e-06,-0.0002
2.8045861e-06,-0.0001125
2.8046861e-06,-0.000125
2.8047861e-06,-0.0002
2.8048861e-06,-0.000275
2.8049861e-06,-0.0003125
2.8050861e-06,-0.00031875
2.8051861e-06,-0.0003
2.8052861e-06,-0.0003
2.8053861e-06,-0.0003375
2.8054861e-06,-0.0004125
2.8055861e-06,-0.0005
2.8056861e-06,-0.00058125
2.8057861e-06,-0.000625
2.8058861e-06,-0.000625
2.8059861e-06,-0.0006
2.8060861e-06,-0.00055625
2.8061861e-06,-0.0005
2.8062861e-06,-0.00045
2.8063861e-06,-0.0004
2.8064861e-06,-0.00035
2.8065861e-06,-0.0003125
2.8066861e-06,-0.00029375
2.8067861e-06,-0.0003
2.8068861e-06,-0.00031875
2.8069861e-06,-0.000325
2.8070861e-06,-0.00029375
2.8071861e-06,-0.0002
2.8072861e-06,-5e-05
2.8073861e-06,0.00011875
2.8074861e-06,0.00025625
2.8075861e-06,0.0003
2.8076861e-06,0.0002125
2.8077861e-06,1.25e-05
